gene10007	LOC105883949
gene10962	LOC105862747
gene10964	LOC105858370
gene1096	LOC105879425
gene10979	LOC105866291
gene10980	LOC105866284
gene10983	LOC105866285
gene10987	LOC105866297
gene1098	LOC105879426
gene1099	LOC109729740
gene11002	LOC105857537
gene11003	LOC109730895
gene11006	LOC109730931
gene1100	LOC105879421
gene11015	LOC105861534
gene11016	LOC105861530
gene11028	LOC105878280
gene11031	LOC105878272
gene11043	LOC109730932
gene11047	LOC105869099
gene11053	LOC105868981
gene11058	LOC109730933
gene1105	LOC109730929
gene1111	LOC105879442
gene11162	LOC105881484
gene11169	LOC105881432
gene1116	LOC105879419
gene11170	LOC105881490
gene11184	LOC105856646
gene11186	LOC105867798
gene1118	LOC109730937
gene1119	LOC105879423
gene1120	LOC105879429
gene11224	LOC105866361
gene11253	LOC105866393
gene11262	LOC105869245
gene1129	LOC109730944
gene112	LOC105872728
gene11316	LOC105886154
gene11319	LOC105886127
gene11341	LOC105869262
gene11353	LOC105862811
gene11360	LOC105862867
gene11367	LOC105862861
gene11368	LOC105862813
gene11373	LOC109731001
gene11409	LOC105862846
gene11413	LOC109731006
gene11426	LOC105858643
gene11428	LOC105858635
gene1144	LOC105859344
gene11484	LOC105857690
gene11498	LOC105857649
gene11499	LOC105857717
gene11506	LOC105882607
gene11522	LOC105882603
gene11529	LOC109730986
gene11534	LOC105882611
gene11541	LOC105867032
gene11544	LOC105867041
gene11554	LOC105862315
gene11561	LOC105863901
gene11567	LOC105864298
gene11570	LOC105864313
gene11578	LOC105864297
gene11580	LOC105864296
gene11608	LOC105856916
gene11609	LOC109731010
gene1161	LOC105872740
gene11620	LOC105856930
gene11638	LOC105856946
gene11649	LOC105856956
gene11650	LOC105856892
gene11655	LOC105856962
gene11662	LOC109731014
gene11685	LOC109730988
gene11686	LOC105856986
gene11717	LOC105877956
gene11755	LOC105877945
gene11763	LOC105879295
gene11772	LOC105879296
gene11786	LOC109730963
gene11792	LOC105882991
gene11832	LOC105865072
gene1183	LOC105858762
gene11853	LOC105865051
gene11858	LOC105865060
gene11863	LOC105865046
gene11876	LOC105880729
gene11878	LOC105880674
gene11884	LOC105880727
gene11889	LOC105880715
gene11891	LOC105880716
gene11896	LOC105880664
gene11897	LOC105880663
gene118	LOC105872729
gene11914	LOC105880694
gene11920	LOC105880685
gene11923	LOC105880686
gene11938	LOC105867218
gene11942	LOC105867220
gene11949	LOC105869406
gene11950	LOC105869405
gene11958	LOC105860209
gene11964	LOC105860205
gene11967	LOC109730977
gene11972	LOC105860207
gene11973	LOC105860208
gene1197	LOC105872825
gene11990	LOC105879584
gene11993	LOC105879587
gene12007	LOC105879599
gene12009	LOC105879597
gene12010	LOC105879595
gene12013	LOC105879586
gene12014	LOC105879580
gene12035	LOC105860465
gene12056	LOC105854998
gene12059	LOC105855000
gene12072	LOC105863201
gene12073	LOC105863200
gene1207	LOC105872868
gene12085	LOC105857614
gene12092	LOC105857601
gene1209	LOC105872836
gene12104	LOC105857627
gene12108	LOC105857644
gene12110	LOC105857604
gene12112	LOC105857616
gene12117	LOC105857640
gene12119	LOC105865040
gene12120	LOC105865039
gene12122	LOC105865042
gene12134	LOC105857248
gene12139	LOC105877249
gene12141	LOC109730978
gene12147	LOC105877250
gene12161	LOC105862728
gene12165	LOC105863017
gene12167	LOC105863018
gene12169	LOC105863022
gene12170	LOC109731035
gene1219	LOC105872872
gene12204	LOC105866569
gene12207	LOC105879494
gene12238	LOC109730966
gene12244	LOC105863175
gene12249	LOC105871946
gene12254	LOC109730980
gene12255	LOC105864065
gene12259	LOC105869334
gene12278	LOC109730968
gene12279	LOC105885184
gene12284	LOC105868956
gene12285	LOC109730969
gene12290	LOC105867825
gene12292	LOC109731044
gene12295	LOC105866160
gene12302	LOC105866274
gene12306	LOC105867002
gene1231	LOC105872869
gene12345	LOC105866543
gene12353	LOC105867033
gene12357	LOC105866682
gene12358	LOC105866706
gene1235	LOC105884230
gene12368	LOC105866837
gene12371	LOC105866869
gene1237	LOC105884249
gene12384	LOC105866945
gene12390	LOC105884306
gene12397	LOC105884536
gene12401	LOC105884305
gene12415	LOC105884514
gene12416	LOC109731049
gene12423	LOC105884320
gene1243	LOC105884228
gene12441	LOC105884304
gene12449	LOC105884302
gene12468	LOC105884468
gene1248	LOC105884226
gene12502	LOC105884428
gene12559	LOC105884371
gene1255	LOC105884224
gene12569	LOC105884361
gene12570	LOC105884297
gene12596	LOC105884332
gene12606	LOC105884295
gene12611	LOC105868524
gene12642	LOC105860575
gene12648	LOC109730984
gene12717	LOC105885961
gene12724	LOC105870531
gene12751	LOC105881549
gene12766	LOC105885216
gene12770	LOC105885218
gene12771	LOC105885219
gene12795	LOC105885223
gene12810	LOC105866786
gene1281	LOC105872865
gene12823	LOC105876418
gene12828	LOC109731091
gene12833	LOC105876399
gene12836	LOC105876419
gene12850	LOC105884892
gene12853	LOC105884889
gene12857	LOC105884898
gene1285	LOC105872870
gene12861	LOC105864104
gene12865	LOC105869160
gene12880	LOC105856789
gene12881	LOC105856790
gene12892	LOC105866240
gene12934	LOC105860162
gene12945	LOC105857502
gene12949	LOC105857507
gene12956	LOC109731088
gene12965	LOC109731096
gene12968	LOC105854795
gene12971	LOC105854800
gene12972	LOC105854787
gene12973	LOC105854788
gene12977	LOC105854805
gene12990	LOC105883300
gene12994	LOC109731080
gene12997	LOC105874699
gene12	LOC105862662
gene13009	LOC105857061
gene13019	LOC105857062
gene13025	LOC105857561
gene13029	LOC105857558
gene13037	LOC105857594
gene13058	LOC105857555
gene13060	LOC109731069
gene13061	LOC105857595
gene13066	LOC105876563
gene13067	LOC105876564
gene13074	LOC105876569
gene13083	LOC105876566
gene13092	LOC109731084
gene130	LOC105866446
gene13100	LOC105860685
gene13106	LOC105860684
gene13114	LOC105869108
gene13135	LOC105875683
gene13139	LOC109731102
gene1314	LOC105882572
gene13152	LOC105875657
gene13175	LOC105869870
gene13186	LOC105869883
gene13196	LOC105869911
gene13201	LOC109731073
gene13211	LOC105869912
gene13219	LOC105882173
gene13223	LOC105882126
gene13229	LOC105882125
gene13232	LOC105882124
gene13233	LOC105882159
gene13234	LOC105882129
gene13235	LOC105882128
gene13266	LOC109731074
gene1326	LOC105862978
gene13279	LOC105883251
gene13306	LOC105863698
gene13311	LOC109731082
gene13314	LOC109731083
gene13317	LOC105880656
gene13322	LOC105859490
gene13323	LOC105859491
gene13369	LOC105882728
gene13370	LOC105882729
gene13381	LOC105882730
gene13432	LOC109731113
gene13460	LOC105855157
gene13464	LOC105855149
gene13473	LOC105868772
gene1347	LOC105877621
gene13495	LOC105862339
gene134	LOC105881579
gene13543	LOC105871326
gene13569	LOC105871306
gene13582	LOC105871331
gene13583	LOC105871341
gene13587	LOC105871320
gene1358	LOC105877587
gene13610	LOC105884695
gene13623	LOC105884714
gene13629	LOC105856558
gene13690	LOC105870624
gene136	LOC105881568
gene13719	LOC105870586
gene13727	LOC105870578
gene13738	LOC109731085
gene1376	LOC105877567
gene13771	LOC105868849
gene13777	LOC105868773
gene1378	LOC109730409
gene13793	LOC105868783
gene13823	LOC109731127
gene13834	LOC105868816
gene13838	LOC105878643
gene13844	LOC105876185
gene13845	LOC105876197
gene13857	LOC105876195
gene13889	LOC105856681
gene1388	LOC105877556
gene13892	LOC105856678
gene13900	LOC105856661
gene13909	LOC105856654
gene13910	LOC105856674
gene13916	LOC109731152
gene13925	LOC105881319
gene13930	LOC105881321
gene13931	LOC105881322
gene13940	LOC105881346
gene13941	LOC105881347
gene1396	LOC105877547
gene13971	LOC105855613
gene1397	LOC105877603
gene13993	LOC109731155
gene13995	LOC105883781
gene14020	LOC105883779
gene14028	LOC105879498
gene14047	LOC105855353
gene14066	LOC109731160
gene1406	LOC105877531
gene14083	LOC105856719
gene14088	LOC105856633
gene14089	LOC105856627
gene1409	LOC105877533
gene14140	LOC105856607
gene14141	LOC105856595
gene14142	LOC105855950
gene14154	LOC105855894
gene14175	LOC105855691
gene14176	LOC105856575
gene14185	LOC109731148
gene14189	LOC105874774
gene14194	LOC105874784
gene14212	LOC105868706
gene1421	LOC105877611
gene14245	LOC105874207
gene14246	LOC105874206
gene14247	LOC105874215
gene14276	LOC105874124
gene14277	LOC105874123
gene1428	LOC109731196
gene14292	LOC105874139
gene14302	LOC105874135
gene1430	LOC105877610
gene14311	LOC105871194
gene14316	LOC105871176
gene1431	LOC109731198
gene14334	LOC105865313
gene14340	LOC105873821
gene14353	LOC105873822
gene14374	LOC109731169
gene1438	LOC105877508
gene14400	LOC109731201
gene14417	LOC105871191
gene14419	LOC105871183
gene14428	LOC105874378
gene14431	LOC105874373
gene14432	LOC105874374
gene14433	LOC105874375
gene14444	LOC105874363
gene14451	LOC105874356
gene14476	LOC105874382
gene1448	LOC105877496
gene1450	LOC109731225
gene14514	LOC105874386
gene14522	LOC105874379
gene1452	LOC105877609
gene14542	LOC105855652
gene14543	LOC105855651
gene14547	LOC105855721
gene14549	LOC105855720
gene14551	LOC105855719
gene14563	LOC105855706
gene14566	LOC105855644
gene14581	LOC105855689
gene14589	LOC105855647
gene14598	LOC105855646
gene14599	LOC105855663
gene145	LOC105881566
gene14600	LOC105855662
gene14603	LOC105855660
gene14611	LOC109731177
gene14613	LOC105873736
gene1461	LOC105877485
gene14620	LOC105873745
gene14626	LOC105873741
gene1464	LOC105877477
gene14654	LOC105873697
gene14666	LOC105873738
gene14677	LOC105873672
gene1470	LOC105877473
gene14722	LOC105875301
gene1472	LOC109731034
gene14732	LOC105875328
gene14733	LOC105875310
gene14752	LOC105875168
gene14761	LOC109731184
gene14774	LOC105875298
gene14783	LOC105875196
gene14790	LOC109731186
gene14800	LOC109731187
gene14847	LOC105875256
gene1485	LOC109731239
gene14881	LOC105875322
gene14891	LOC105875299
gene1489	LOC105877454
gene14911	LOC105862779
gene14920	LOC105859858
gene14950	LOC105880749
gene15070	LOC105882243
gene15083	LOC105868751
gene1509	LOC105877614
gene15120	LOC105883132
gene15128	LOC105883195
gene15131	LOC105883137
gene15159	LOC105883131
gene15187	LOC105883118
gene1518	LOC109731260
gene15211	LOC105873378
gene15223	LOC105873362
gene15224	LOC105873361
gene15294	LOC105873266
gene15299	LOC105873262
gene152	LOC105860530
gene15311	LOC105873247
gene15317	LOC105873242
gene15351	LOC105859105
gene15354	LOC105859119
gene15357	LOC105860167
gene1535	LOC105862261
gene15369	LOC105860169
gene1539	LOC105862262
gene1540	LOC105862263
gene15423	LOC105884866
gene15424	LOC105884791
gene15427	LOC105884863
gene15435	LOC109731237
gene1543	LOC105862283
gene15465	LOC105884809
gene1546	LOC105862260
gene15470	LOC105884795
gene15474	LOC105884794
gene15475	LOC105884821
gene15479	LOC105884807
gene1549	LOC105862290
gene15512	LOC105867340
gene15530	LOC105858086
gene15547	LOC105855260
gene15558	LOC105855259
gene15569	LOC105861734
gene1556	LOC105862264
gene15570	LOC109731240
gene15586	LOC105860944
gene15600	LOC105861779
gene15607	LOC109731241
gene15611	LOC105861331
gene15612	LOC105861743
gene15614	LOC105861719
gene15615	LOC109731268
gene15627	LOC105861752
gene15628	LOC105861787
gene15647	LOC105871887
gene15649	LOC105879319
gene15652	LOC105879320
gene15656	LOC105879321
gene15658	LOC105879345
gene15665	LOC105879324
gene15672	LOC105879328
gene15687	LOC105879326
gene15692	LOC105879330
gene15724	LOC105879412
gene15750	LOC105867239
gene15776	LOC105867242
gene15777	LOC105867243
gene15778	LOC105867247
gene15789	LOC109731208
gene15790	LOC109731209
gene15811	LOC105880180
gene15813	LOC105880169
gene15821	LOC109731220
gene15829	LOC105880171
gene15836	LOC105875941
gene15840	LOC109731217
gene15847	LOC105875942
gene15851	LOC105859523
gene15862	LOC105875937
gene15864	LOC105875897
gene15868	LOC105875947
gene15871	LOC109731251
gene15876	LOC105875904
gene15891	LOC105875945
gene15893	LOC105875938
gene15894	LOC109731269
gene15948	LOC105879039
gene15961	LOC105858256
gene15970	LOC105858254
gene15992	LOC105878248
gene16007	LOC105864403
gene16011	LOC105864395
gene16013	LOC105864402
gene16017	LOC105864394
gene16036	LOC105858094
gene16037	LOC105858399
gene16039	LOC105858412
gene1603	LOC105871841
gene16045	LOC109731262
gene16048	LOC105858415
gene16070	LOC105870675
gene16081	LOC105870676
gene16100	LOC105855169
gene16124	LOC105877230
gene16127	LOC109731212
gene1612	LOC109731339
gene16132	LOC105877221
gene16135	LOC109731213
gene16138	LOC105883130
gene16143	LOC105883129
gene16144	LOC105883128
gene16145	LOC105883126
gene16146	LOC109731219
gene16150	LOC105865514
gene16158	LOC109731293
gene16166	LOC105882001
gene16167	LOC105882002
gene16169	LOC105881985
gene16170	LOC105882003
gene16181	LOC105881987
gene16189	LOC105882026
gene16192	LOC105881988
gene16193	LOC105882029
gene161	LOC105860523
gene16205	LOC105881927
gene16211	LOC105881344
gene16228	LOC105881947
gene16229	LOC105881953
gene16232	LOC105881983
gene1623	LOC105871840
gene16240	LOC105881958
gene16244	LOC105881994
gene16245	LOC105881963
gene16247	LOC105883277
gene16262	LOC105885360
gene16277	LOC105885855
gene162	LOC109731003
gene16340	LOC105876463
gene16352	LOC105856622
gene16355	LOC105856623
gene16357	LOC105856624
gene16360	LOC105856625
gene16364	LOC109731328
gene16373	LOC105882636
gene16374	LOC105882639
gene16384	LOC105856609
gene1638	LOC105871769
gene16392	LOC105856611
gene16397	LOC109731327
gene16424	LOC105855446
gene1643	LOC105871844
gene16451	LOC105855439
gene1645	LOC109731365
gene16465	LOC105878403
gene16468	LOC105878395
gene16477	LOC105878405
gene16485	LOC105878400
gene16499	LOC105857768
gene16503	LOC105857774
gene16508	LOC105857771
gene1650	LOC105871843
gene16512	LOC105857765
gene16522	LOC105877313
gene16536	LOC105877308
gene16538	LOC105877310
gene16543	LOC105877290
gene16557	LOC105877274
gene16561	LOC105877316
gene16562	LOC105877309
gene16578	LOC109731313
gene16579	LOC105877307
gene16592	LOC105856539
gene16596	LOC105856535
gene16598	LOC105856537
gene16599	LOC105881974
gene1659	LOC105871752
gene16607	LOC105881917
gene16610	LOC105882018
gene16620	LOC105881737
gene16627	LOC109731314
gene1662	LOC109730402
gene16630	LOC105864107
gene16648	LOC105854872
gene1664	LOC105871747
gene16653	LOC105854881
gene16692	LOC105862211
gene16694	LOC105872615
gene16706	LOC105872647
gene16713	LOC105872632
gene16714	LOC105872645
gene16717	LOC105872634
gene16721	LOC105872649
gene16732	LOC105882198
gene16750	LOC105854778
gene16758	LOC105876442
gene16764	LOC105876451
gene16766	LOC105876465
gene16774	LOC105876493
gene16775	LOC105876547
gene16824	LOC105880431
gene16826	LOC105880424
gene16827	LOC105880423
gene16840	LOC109731291
gene16844	LOC105865741
gene16856	LOC105870871
gene16859	LOC105870870
gene16860	LOC105870869
gene16872	LOC105870868
gene16879	LOC105870867
gene16885	LOC105870835
gene16898	LOC105867829
gene168	LOC105883250
gene16901	LOC109731323
gene16907	LOC109731325
gene16915	LOC105872247
gene16916	LOC105872246
gene16919	LOC105872242
gene16928	LOC105884545
gene16931	LOC105884544
gene16936	LOC105884559
gene16939	LOC109731326
gene16952	LOC105868166
gene16954	LOC105867755
gene16957	LOC105867752
gene16960	LOC105867751
gene16962	LOC109731391
gene16995	LOC105864281
gene169	LOC105883255
gene17000	LOC105864202
gene17002	LOC105864199
gene17004	LOC105864165
gene17005	LOC105864164
gene17009	LOC109731392
gene17012	LOC105864156
gene17013	LOC105864206
gene17015	LOC109731393
gene17016	LOC105864162
gene17019	LOC105864161
gene17020	LOC105864259
gene17061	LOC105864186
gene17092	LOC105864155
gene17096	LOC105864218
gene170	LOC105883261
gene17118	LOC105867187
gene17122	LOC105867188
gene17130	LOC105874153
gene17131	LOC105874154
gene17137	LOC109731341
gene17144	LOC105874175
gene17149	LOC105874166
gene17155	LOC105874176
gene17157	LOC105880163
gene17160	LOC105880162
gene17163	LOC109731384
gene17173	LOC105868770
gene17175	LOC105882961
gene17184	LOC109731394
gene17189	LOC105882958
gene17190	LOC105882964
gene17206	LOC105855859
gene17222	LOC105876439
gene17225	LOC105876437
gene17234	LOC105863031
gene17238	LOC105863033
gene17239	LOC105863034
gene17241	LOC105863035
gene17242	LOC105863036
gene17248	LOC105863038
gene17254	LOC105863042
gene17256	LOC105863039
gene17277	LOC105871586
gene17282	LOC109731343
gene17286	LOC105871598
gene17297	LOC105869317
gene17315	LOC109731344
gene17323	LOC105864411
gene1732	LOC105855057
gene17358	LOC105881153
gene17374	LOC109731346
gene17396	LOC109731389
gene17398	LOC105855979
gene17403	LOC105855974
gene17418	LOC105868513
gene1741	LOC105855058
gene17426	LOC109731390
gene1742	LOC105855059
gene17441	LOC105859085
gene17444	LOC109731333
gene17445	LOC109731382
gene17503	LOC105861170
gene17520	LOC105858893
gene17538	LOC109731347
gene17541	LOC105859834
gene17556	LOC105878799
gene17561	LOC105878810
gene17569	LOC105878785
gene1757	LOC105855090
gene1758	LOC105855089
gene17590	LOC105878861
gene17591	LOC109731374
gene17599	LOC105878798
gene17603	LOC105878846
gene17604	LOC105878797
gene17641	LOC105878775
gene17645	LOC105871940
gene17649	LOC105871917
gene17650	LOC105871918
gene1765	LOC105871850
gene17660	LOC105871932
gene17662	LOC109731353
gene1766	LOC105871851
gene17687	LOC105871898
gene17704	LOC109729271
gene17713	LOC105874481
gene17714	LOC105874482
gene17717	LOC105874497
gene17730	LOC109729259
gene17732	LOC105875084
gene17733	LOC105875085
gene17745	LOC109729272
gene17758	LOC105875087
gene17759	LOC105875088
gene17765	LOC105875106
gene17766	LOC105875090
gene17775	LOC105875082
gene17794	LOC105874940
gene17805	LOC105875096
gene17865	LOC105875097
gene17874	LOC105875099
gene17896	LOC105875102
gene178	LOC105883532
gene1790	LOC105863470
gene17912	LOC105875083
gene17925	LOC105875065
gene17931	LOC105875112
gene17934	LOC109729262
gene17945	LOC105857466
gene17953	LOC109729277
gene17954	LOC105864854
gene17962	LOC109729278
gene17968	LOC105871963
gene17971	LOC109729256
gene17978	LOC109729257
gene17979	LOC105884905
gene17984	LOC109729282
gene17999	LOC109729263
gene17	LOC109730374
gene18010	LOC105873504
gene18011	LOC105873519
gene18029	LOC105873523
gene18030	LOC109729264
gene18047	LOC109729265
gene18081	LOC109731401
gene18110	LOC105858678
gene18119	LOC105858690
gene18125	LOC105858667
gene1812	LOC105863423
gene18161	LOC105858670
gene1816	LOC105863552
gene18188	LOC109731403
gene18193	LOC105858709
gene18197	LOC105858714
gene18209	LOC105858742
gene18212	LOC105858720
gene18220	LOC105858672
gene18243	LOC105858673
gene18262	LOC105865111
gene18279	LOC105865177
gene18283	LOC109729269
gene18291	LOC105865241
gene18292	LOC105865123
gene18312	LOC109729232
gene18329	LOC105865116
gene18347	LOC105865147
gene18365	LOC105865162
gene18367	LOC105865109
gene18371	LOC105865219
gene18393	LOC105865239
gene18400	LOC105865122
gene18405	LOC105865152
gene18417	LOC105858273
gene18418	LOC105858274
gene18429	LOC105858321
gene18431	LOC105858275
gene18455	LOC105858305
gene18458	LOC105858290
gene18459	LOC105858293
gene18470	LOC105858278
gene18477	LOC105854943
gene18478	LOC105854939
gene18480	LOC105854940
gene18481	LOC105854951
gene18482	LOC105854952
gene18502	LOC105881754
gene18507	LOC105881730
gene18508	LOC105881738
gene18520	LOC105881742
gene18535	LOC105881745
gene18554	LOC105881727
gene18559	LOC105881746
gene18560	LOC105881803
gene18563	LOC105881733
gene18573	LOC105881729
gene18575	LOC105881821
gene18581	LOC105881823
gene18582	LOC105881820
gene18597	LOC109729252
gene18610	LOC105881749
gene18636	LOC105881875
gene18643	LOC105881879
gene18667	LOC105872375
gene18674	LOC105872376
gene18677	LOC105865104
gene18680	LOC105885811
gene18681	LOC105885810
gene18693	LOC105885823
gene18702	LOC105885815
gene18704	LOC105856802
gene18707	LOC105882076
gene18717	LOC109729258
gene18718	LOC109729244
gene18725	LOC105882100
gene18731	LOC105882106
gene18734	LOC105882111
gene18743	LOC109729251
gene18752	LOC109729236
gene18754	LOC105882087
gene18755	LOC109729253
gene18778	LOC105882496
gene18779	LOC105882497
gene18787	LOC105882468
gene1879	LOC105863437
gene18803	LOC105879497
gene18811	LOC105869637
gene18818	LOC105874680
gene18819	LOC105874679
gene18837	LOC105874678
gene18852	LOC105874685
gene18859	LOC105874683
gene18872	LOC105874617
gene18885	LOC105874682
gene18888	LOC105874604
gene18899	LOC105884929
gene18910	LOC109729396
gene18922	LOC105870347
gene18927	LOC105870212
gene18928	LOC105870213
gene18934	LOC105870324
gene18939	LOC109729426
gene1894	LOC105863417
gene18964	LOC105870322
gene18975	LOC105870166
gene18977	LOC109729388
gene18983	LOC105870161
gene18	LOC105862657
gene19000	LOC105870321
gene19019	LOC105870341
gene19048	LOC105871396
gene19050	LOC105871409
gene19055	LOC109729419
gene19086	LOC105868791
gene19088	LOC105868786
gene19089	LOC105868790
gene19095	LOC105868830
gene19096	LOC105868779
gene19098	LOC105868777
gene1909	LOC109731048
gene19112	LOC109729404
gene19114	LOC105884273
gene1913	LOC109729463
gene1914	LOC105863494
gene19153	LOC109729392
gene19158	LOC105860122
gene19163	LOC105860119
gene19179	LOC105879000
gene19186	LOC109729430
gene191	LOC105883585
gene19208	LOC109729431
gene19228	LOC105870294
gene19233	LOC105870337
gene19236	LOC105870358
gene19241	LOC109729434
gene19245	LOC105870335
gene1924	LOC105863420
gene19250	LOC105870334
gene19257	LOC105870269
gene19273	LOC105870331
gene19278	LOC105870330
gene19286	LOC105870245
gene19290	LOC105870349
gene19299	LOC105870328
gene1932	LOC105863421
gene19343	LOC105871645
gene19357	LOC105871811
gene19359	LOC105875745
gene1935	LOC105863422
gene19365	LOC105871953
gene19379	LOC109729405
gene19385	LOC105872190
gene19386	LOC105872201
gene19387	LOC109729406
gene19401	LOC105872335
gene19402	LOC109729435
gene19411	LOC105872450
gene19413	LOC105872465
gene19415	LOC105872474
gene19427	LOC109729408
gene19445	LOC105875636
gene19453	LOC105873119
gene19476	LOC105873307
gene19488	LOC109729424
gene1948	LOC105873628
gene19493	LOC105873435
gene19494	LOC109729409
gene194	LOC105883567
gene19505	LOC105873670
gene1952	LOC105873623
gene19549	LOC109729383
gene1954	LOC105873630
gene19567	LOC105875710
gene19577	LOC105875776
gene19604	LOC109729416
gene19620	LOC109729398
gene19632	LOC105875120
gene19675	LOC105861488
gene19761	LOC105880339
gene19779	LOC105880299
gene1980	LOC105884028
gene19852	LOC105876512
gene19865	LOC105878088
gene19955	LOC105866730
gene19974	LOC109729520
gene1999	LOC105883976
gene20015	LOC105878972
gene20045	LOC109729523
gene20061	LOC105878878
gene20096	LOC109729479
gene20127	LOC105859533
gene20137	LOC105858367
gene20141	LOC105859398
gene20142	LOC105856735
gene20148	LOC105857656
gene20160	LOC105855123
gene20161	LOC105855072
gene2016	LOC105883978
gene20179	LOC105858180
gene20181	LOC105885567
gene20206	LOC109729507
gene20239	LOC105859000
gene20244	LOC105878091
gene2024	LOC109730396
gene20250	LOC105877762
gene20251	LOC105877482
gene20262	LOC105875980
gene20266	LOC109729481
gene20267	LOC109729465
gene20273	LOC105874689
gene20286	LOC105873653
gene20287	LOC105873421
gene20289	LOC105873489
gene20292	LOC105872518
gene20294	LOC109729524
gene20320	LOC109729483
gene20321	LOC105857826
gene20324	LOC105864795
gene20343	LOC105880874
gene20346	LOC105858503
gene20355	LOC105857753
gene20357	LOC105860925
gene20402	LOC105885073
gene20409	LOC109729471
gene20568	LOC105872211
gene20571	LOC105872208
gene20572	LOC105872056
gene20574	LOC105872207
gene20578	LOC105872049
gene20579	LOC105872206
gene20581	LOC105872205
gene20601	LOC105872192
gene20643	LOC105859418
gene20655	LOC109729487
gene20683	LOC105883516
gene20703	LOC105883513
gene20722	LOC105883562
gene20744	LOC109729488
gene20745	LOC109729489
gene20753	LOC105883514
gene20771	LOC105863666
gene20785	LOC105861611
gene20790	LOC105861666
gene20799	LOC105861609
gene20813	LOC105861625
gene20836	LOC105861699
gene20837	LOC105861698
gene20838	LOC109729490
gene20883	LOC105861673
gene20889	LOC105861726
gene20927	LOC105857864
gene20929	LOC105857856
gene20953	LOC105857961
gene20962	LOC105857858
gene20969	LOC105857900
gene20975	LOC105857905
gene20977	LOC105857967
gene20991	LOC105857870
gene2099	LOC105877672
gene21038	LOC109729449
gene21039	LOC105857863
gene21053	LOC109729511
gene21091	LOC105879158
gene21099	LOC105879222
gene21136	LOC105879259
gene21141	LOC105879200
gene21150	LOC105879201
gene21158	LOC105879204
gene21159	LOC105879205
gene21172	LOC105879291
gene21174	LOC105879209
gene21175	LOC105879211
gene21181	LOC105879214
gene21182	LOC105879217
gene21190	LOC109729472
gene2119	LOC105877673
gene21201	LOC105878393
gene21209	LOC105878445
gene21214	LOC109729514
gene21245	LOC105878410
gene21321	LOC105878152
gene21332	LOC105878422
gene21378	LOC105861977
gene21406	LOC105861955
gene2141	LOC105872653
gene21436	LOC105856323
gene21458	LOC105856304
gene21459	LOC105856341
gene21463	LOC105861930
gene21482	LOC105863341
gene21484	LOC105866668
gene21514	LOC109729571
gene21571	LOC109729577
gene21574	LOC105859617
